"Event ID","Title","Description","Date","Start Time","End Time","Setup","Teardown","Location","Library","Event Organizer","Presenter","Audiences","Categories","Publishing Status","Internal Tags","Notes","Registration Enabled","Seats","Confirmed Registrations","Waiting-List Registrations","Cancelled Registrations","Anticipated Attendance","Actual Attendance","Confirmed Attendance"
"6677908","Data Spring Cleaning: Data File Inventory","


Join the discussion and exchange tips on how to keep track of your data files more efficiently and save yourself headaches down the road. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Discussion Series, Data Spring Cleaning: Or, How Can We Help Your Data “Spark Joy”?

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-04","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","15","15","0","0","0","","0"
"6677910","Data Spring Cleaning: Tidy Data and Documentation","


Join the discussion and exchange tips on how to tidy up your datasets and maintain consistent documentation through all of your projects. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Discussion Series, Data Spring Cleaning: Or, How Can We Help Your Data “Spark Joy”?

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-06","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","15","15","0","3","0","","10"
"6677912","Getting Started with Collaboration Tools: Open Science Framework","


Get started with this flexible web-based platform for collaborative project management, open research documentation, and data publishing. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Getting Started with Collaboration Tools Series: Or, Open Research in a Time of Isolation.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-07","13:00","14:00","","","Virtual","","Neggin Keshavarzian","Meghan Testerman","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","8","0","2","0","","7"
"6677911","Data Spring Cleaning: Data Shelves, Closets, and Attics","


Join the discussion and exchange tips on how to better organize your active data files and keep your analysis workspace free from clutter. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Discussion Series, Data Spring Cleaning: Or, How Can We Help Your Data “Spark Joy”?

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-08","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","15","11","0","6","0","","3"
"6678048","Getting started with SciENcv + ORCID","


New requirement of NSF-Approved Formats for Biographical Sketch and Current & Pending Support and how to integrate ORCID. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series. 

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-08","15:00","16:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","100","28","0","0","0","","0"
"6678012","Preparing Data for Publication: Overview","An overview of how to get your data ready to be published, starting with organization to choose the best repository. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-11","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","4","0","1","0","","3"
"6678038","Preparing Data for Publication: Organizing Data: Best Practices","Deeper dive into the best practices for organizing your data to optimize discovery and reuse. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-12","11:00","11:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","10","0","0","0","","0"
"6678031","Preparing Data for Publication: Readmes and Documentation","Deeper dive into documenting and describing your data to optimize discovery and reuse. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-12","13:00","13:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","6","0","1","0","","0"
"6678041","Preparing Data for Publication: Discovery and Reuse","


Deeper dive into data discovery and reuse. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-13","11:00","11:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","6","0","0","0","","0"
"6678044","Preparing Data for Publication: Generalist and Discipline-specific Repositories - What to Look For","


Deeper dive into deciding where to put your data. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-13","13:00","13:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","6","0","0","0","","0"
